Team 1,Team 2,Gen.G Ending Elo,Match Winner
majstersztyk,fnatic,1017.37,FNATIC
fnatic,giants gaming,1034.65,FNATIC
wave esports,fnatic,1016.46,Wave Esports
fnatic,swag silicone,1035.5,FNATIC
pit stop,fnatic,1053.1,FNATIC
fnatic,edelweiss esports,1072.08,FNATIC
fnatic,guild esports,1099.21,FNATIC
funplus phoenix,fnatic,1093.96,FunPlus Phoenix
fnatic,ballista,1076.85,Ballista
out of sight,fnatic,1101.2,FNATIC
team queso,fnatic,1137.97,FNATIC
fnatic,atravs,1150.42,FNATIC
honk,fnatic,1176.77,FNATIC
alliance,fnatic,1155.08,Alliance
fnatic,dark tigers,1166.7,FNATIC
necroraisers,fnatic,1195.62,FNATIC
fnatic,honvéd esport,1205.42,FNATIC
fnatic,ovation esports,1213.26,FNATIC
fnatic,saw,1224.6,FNATIC
acend,fnatic,1200.93,Acend
g2 esports,fnatic,1202.5,FNATIC
team vitality,fnatic,1218.17,FNATIC
fnatic,team liquid,1249.88,FNATIC
fnatic,oxygen esports,1269.77,FNATIC
fnatic,guild esports,1297.87,FNATIC
fnatic,gambit esports,1331.59,FNATIC
team liquid,fnatic,1318.76,Team Liquid
fnatic,krü esports,1336.18,FNATIC
sentinels,fnatic,1334.58,Sentinels
fnatic,x10 esports,1360.77,FNATIC
version1,fnatic,1388.86,FNATIC
fnatic,team liquid,1415.45,FNATIC
nuturn,fnatic,1441.69,FNATIC
sentinels,fnatic,1438.9,Sentinels
fnatic,tenstar,1444.69,FNATIC
g2 esports,fnatic,1439.95,G2 Esports
fnatic,wave esports,1447.78,FNATIC
team liquid,fnatic,1463.67,FNATIC
fnatic,guild esports,1446.01,Guild Esports
fnatic,g2 esports,1410.9,G2 Esports
fnatic,alliance,1422.82,FNATIC
giants gaming,fnatic,1397.46,Giants Gaming
fnatic,team bds,1402.66,FNATIC
fnatic,tenstar,1409.75,FNATIC
team liquid,fnatic,1395.8,Team Liquid
fnatic,axolotl,1399.52,FNATIC
legendary donkey destroyers,fnatic,1435.47,FNATIC
19esports,fnatic,1471.64,FNATIC
fnatic,finest,1479.01,FNATIC
fnatic,saw,1483.26,FNATIC
tenstar,fnatic,1450.16,TENSTAR
fnatic,funplus phoenix,1475.8,FNATIC
fnatic,anubis gaming,1483.54,FNATIC
giants gaming,fnatic,1461.86,Giants Gaming
team liquid,fnatic,1451.67,Team Liquid
fnatic,cloud9,1477.47,FNATIC
vision strikers,fnatic,1488.95,FNATIC
fnatic,krü esports,1475.25,KRÜ Esports
g2 esports,fnatic,1479.27,FNATIC
bbl esports,fnatic,1505.68,FNATIC
papara supermassive,fnatic,1538.03,FNATIC
acend,fnatic,1553.09,FNATIC
guild esports,fnatic,1570.86,FNATIC
fnatic,m3 champions,1573.18,FNATIC
fnatic,funplus phoenix,1543.74,FunPlus Phoenix
fnatic,g2 esports,1508.28,G2 Esports
fnatic,ninjas in pyjamas,1504.31,Ninjas In Pyjamas
fnatic,zeta division,1499.32,ZETA DIVISION
fnatic,funplus phoenix,1533.57,FNATIC
og ldn utd,fnatic,1572.14,FNATIC
acend,fnatic,1587.59,FNATIC
fokus,fnatic,1624.55,FNATIC
fnatic,g2 esports,1654.02,FNATIC
fnatic,funplus phoenix,1684.95,FNATIC
guild esports,fnatic,1711.68,FNATIC
fnatic,funplus phoenix,1740.83,FNATIC
fnatic,funplus phoenix,1767.33,FNATIC
paper rex,fnatic,1748.26,Paper Rex
fnatic,leviatán,1749.36,FNATIC
funplus phoenix,fnatic,1737.64,FunPlus Phoenix
fnatic,100 thieves,1725.24,100 Thieves
furia,fnatic,1762.46,FNATIC
100 thieves,fnatic,1792.13,FNATIC
xset,fnatic,1763.31,XSET
team liquid,fnatic,1778.86,FNATIC
drx,fnatic,1743.63,DRX
fnatic,nasr esports,1744.52,FNATIC
fnatic,team falcons,1746.13,FNATIC
fnatic,geekay esports,1745.39,Geekay Esports
team ra'ad,fnatic,1784.47,FNATIC
yalla esports,fnatic,1824.23,FNATIC
piercer esports,fnatic,1863.95,FNATIC
acend,fnatic,1832.61,Acend
fnatic,geekay esports,1833.08,FNATIC
acend,fnatic,1861.74,FNATIC
detonation focusme,fnatic,1901.6,FNATIC
zeta division,fnatic,1940.42,FNATIC
sentinels,fnatic,1968.13,FNATIC
fnatic,furia,1968.76,FNATIC
100 thieves,fnatic,2001.87,FNATIC
natus vincere,fnatic,2041.09,FNATIC
loud,fnatic,2080.02,FNATIC
fnatic,giants gaming,2086.91,FNATIC
fnatic,bbl esports,2087.2,FNATIC
fnatic,team heretics,2091.14,FNATIC
team liquid,fnatic,2122.96,FNATIC
fut esports,fnatic,2159.55,FNATIC
team vitality,fnatic,2198.45,FNATIC
koi,fnatic,2238.43,FNATIC
karmine corp,fnatic,2278.39,FNATIC
fnatic,natus vincere,2278.69,FNATIC
fnatic,fut esports,2280.2,FNATIC
fnatic,team liquid,2285.53,FNATIC
fnatic,team liquid,2280.22,Team Liquid
fnatic,nrg esports,2282.87,FNATIC
paper rex,fnatic,2317.79,FNATIC
fnatic,evil geniuses,2317.92,FNATIC
fnatic,evil geniuses,2318.08,FNATIC
fnatic,zeta division,2318.16,FNATIC
fnatic,bilibili gaming,2318.23,FNATIC
fnatic,loud,2317.62,LOUD
fnatic,fut esports,2318.91,FNATIC
drx,fnatic,2356.98,FNATIC
fnatic,loud,2356.5,LOUD
fnatic,fennel,2356.58,FNATIC
fnatic,zeta division,2356.63,FNATIC
fnatic,drx,2357.64,FNATIC
cloud9,fnatic,2391.81,FNATIC
team vitality,fnatic,2431.52,FNATIC
fnatic,karmine corp,2431.51,Karmine Corp
fnatic,team heretics,2431.31,Team Heretics
fnatic,giantx,2431.32,FNATIC
gentle mates,fnatic,2471.27,FNATIC
fnatic,koi,2471.27,FNATIC
fnatic,fut esports,2470.62,FUT Esports
natus vincere,fnatic,2430.74,Natus Vincere
fnatic,team liquid,2433.36,FNATIC
karmine corp,fnatic,2473.35,FNATIC
fnatic,team heretics,2473.18,Team Heretics
fnatic,fut esports,2474.14,FNATIC
team heretics,fnatic,2513.97,FNATIC
fnatic,gen.g,2513.92,Gen.G
fut esports,fnatic,2474.67,FUT Esports
bbl esports,fnatic,2514.63,FNATIC
fnatic,team vitality,2514.81,FNATIC
fnatic,karmine corp,2514.81,FNATIC
fnatic,team liquid,2515.88,FNATIC
fnatic,karmine corp,2515.88,FNATIC
fut esports,fnatic,2555.11,FNATIC
team vitality,fnatic,2594.9,FNATIC
fnatic,team vitality,2595.05,FNATIC
fnatic,bilibili gaming,2595.07,FNATIC
fnatic,drx,2594.7,DRX
fnatic,krü esports,2594.75,FNATIC
team heretics,fnatic,2554.87,Team Heretics
g2 esports,fnatic,2592.77,FNATIC
sentinels,fnatic,2554.45,Sentinels
